timestamp,Actual Value,Predicted Value
2021-01-23 02:30:00,32661.48333,32615.93
2021-01-23 05:45:00,32983.92,32719.979
2021-01-23 09:00:00,32153.7,32984.695
2021-01-23 12:15:00,31902.53,32286.182
2021-01-23 15:30:00,32095.76333,32085.44
2021-01-23 18:45:00,32221.54667,32213.19
2021-01-23 22:00:00,32055.11333,32346.777
2021-01-24 01:15:00,32240.46,32180.9
2021-01-24 04:30:00,32687.82333,32333.664
2021-01-24 07:45:00,32720.47333,32751.154
2021-01-24 11:00:00,32423.21333,32767.316
2021-01-24 14:15:00,31885.24333,32515.07
2021-01-24 17:30:00,31574.14667,32016.936
2021-01-24 20:45:00,32046.62333,31709.951
2021-01-25 00:00:00,32593.62,32175.346
2021-01-25 03:15:00,33171.61,32646.4
2021-01-25 06:30:00,33235.40667,33167.836
2021-01-25 09:45:00,33759.65,33240.664
2021-01-25 13:00:00,34338.50333,33697.98
2021-01-25 16:15:00,33840.27,34205.605
2021-01-25 19:30:00,32720.02,33806.715
2021-01-25 22:45:00,32541.18667,32794.72
2021-01-26 02:00:00,32062.11,32607.188
2021-01-26 05:15:00,31727.66333,32165.826
2021-01-26 08:30:00,31928.76667,31806.678
2021-01-26 11:45:00,31432.91333,32017.078
2021-01-26 15:00:00,31844.25667,31550.62
2021-01-26 18:15:00,32161.91667,31965.834
2021-01-26 21:30:00,32292.23,32276.75
2021-01-27 00:45:00,31959.08667,32339.682
2021-01-27 04:00:00,31665.82333,32046.916
2021-01-27 07:15:00,31364.37667,31762.078
2021-01-27 10:30:00,30861.43,31472.455
2021-01-27 13:45:00,30255.66,31025.035
2021-01-27 17:00:00,30483.35333,30454.2
2021-01-27 20:15:00,30674.67333,30663.688
2021-01-27 23:30:00,30700.47,30839.314
2021-01-28 02:45:00,31491.00667,30904.729
2021-01-28 06:00:00,31180.10333,31626.668
2021-01-28 09:15:00,31375.86667,31336.328
2021-01-28 12:30:00,31767.30667,31500.797
2021-01-28 15:45:00,32312.72667,31875.72
2021-01-28 19:00:00,33062.88333,32425.062
2021-01-28 22:15:00,33747.51333,33122.285
2021-01-29 01:30:00,33318.43667,33716.977
2021-01-29 04:45:00,32450.99,33360.13
2021-01-29 08:00:00,35537.68,32539.643
2021-01-29 11:15:00,37699.16667,35312.977
2021-01-29 14:30:00,36612.67333,37082.69
2021-01-29 17:45:00,34773.71333,36218.95
2021-01-29 21:00:00,34609.52333,34669.395
2021-01-30 00:15:00,33800.50333,34513.88
2021-01-30 03:30:00,33358.12,33753.414
2021-01-30 06:45:00,34045.53667,33392.53
